Species,Dataset,IUCN,Class,Mass,ScaledLogRaw,Res
Buteo rufinus,Willemen et al. (2015),LC,Aves,1314,1.326979877594895,0.8590925450979578
Buteo swainsoni,Willemen et al. (2015),LC,Aves,1109,1.84645746924701,1.3788361977715933
Buteogallus aequinoctialis,Willemen et al. (2015),LC,Aves,796,0.2734736626256236,-0.19374137909498385
Buteogallus anthracinus,Willemen et al. (2015),LC,Aves,1199,1.0705020632713431,0.6027639845181859
Buteogallus meridionalis,Willemen et al. (2015),LC,Aves,845.8,1.011773606251918,0.5444939311709608
Buthraupis montana,Willemen et al. (2015),LC,Aves,101,0.23321849565437183,-0.2330945343103493
Cabassous chacoensis,Willemen et al. (2015),NT,Mammalia,1490,-0.7936010252631963,-0.3530526620711295
Cabassous tatouay,Willemen et al. (2015),LC,Mammalia,5350,-0.5875169425673733,-0.23071687584999787
Cabassous unicinctus,Willemen et al. (2015),LC,Mammalia,4800,-1.0175844661150866,-0.6600705771448516
Cacajao calvus,Willemen et al. (2015),VU,Mammalia,5796,0.0839946872194467,0.5138035397460059
Cacatua galerita,Willemen et al. (2015),LC,Aves,764.5,1.8308579565961973,1.3636837974227987
Cacatua leadbeateri,Willemen et al. (2015),LC,Aves,392,0.7421738780800525,0.2754831712506366
Cacatua pastinator,Willemen et al. (2015),LC,Aves,551.3,0.747425119118368,0.28052766340735086
Cacatua sanguinea,Willemen et al. (2015),LC,Aves,487.8,1.4098134364509174,0.9429983947636394
Cacatua tenuirostris,Willemen et al. (2015),LC,Aves,546,0.9422741522569876,0.47538357519677077
Cacicus cela,Willemen et al. (2015),LC,Aves,70.5,1.0326904520620144,0.5664170067858608
Cacomantis castaneiventris,Willemen et al. (2015),LC,Aves,32,-0.8914435337473892,-1.3576670114658425
Cacomantis flabelliformis,Willemen et al. (2015),LC,Aves,49.9,0.6948005634707225,0.2285538540825853
Cacomantis variolosus,Willemen et al. (2015),LC,Aves,32.1,0.3310610041385644,-0.1351626033657531
Caenolestes fuliginosus,Willemen et al. (2015),LC,Mammalia,27.8,-1.195370124927405,-0.831662594947903
Cairina moschata,Willemen et al. (2015),LC,Aves,1250,1.8402409250347656,1.3724366554908884
